261 2115.899550 3.391E-23 8.382E-03.06350.116  649.01340.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 23e     366643 6 7 2 1 1 1   135.0  141.0
261 2116.020000 3.959E-25 8.694E-04.07040.126 1058.07970.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 19e     366643 6 7 2 1 1 1   111.0  117.0
261 2116.701790 2.958E-24 1.163E-02.07040.126 1177.74630.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 19f     366643 6 7 2 1 1 1   111.0  117.0
261 2116.727360 1.268E-24 7.814E-03.06160.113 1319.42180.75-.001000 000 1 3 1-1- u 000 1 0 1 0  g                    P 24f     366643 6 7 2 1 1 1   141.0  147.0
261 2116.947180 3.989E-24 4.190E-03.07770.144  825.54820.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 13e     366643 6 7 2 1 1 1    75.0   81.0
261 2117.445440 3.442E-24 2.309E-02.07560.138 1011.40620.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 15e     366643 6 8 2 1 1 1    29.0   31.0
261 2117.450240 8.794E-25 4.089E-03.06880.124 1222.97190.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 20e     366643 6 7 2 1 1 1   117.0  123.0
261 2117.614040 6.281E-24 4.963E-03.07870.147  766.80780.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R 11e     366643 6 7 2 1 1 1    75.0   69.0
261 2117.655580 2.074E-24 4.933E-03.07870.147  767.49760.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R 11f     366643 6 7 2 1 1 1    25.0   23.0
261 2117.741270 3.110E-25 1.520E-03.07330.132  972.78600.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 17f     366643 6 7 2 1 1 1    33.0   35.0
261 2117.901000 1.539E-25 8.644E-04.07190.129 1013.46240.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 18e     366643 6 7 2 1 1 1    35.0   37.0
261 2118.189950 1.402E-23 8.385E-03.06530.118  594.96680.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 22e     366643 6 7 2 1 1 1    43.0   45.0
261 2118.922920 1.147E-24 1.152E-02.07190.129 1132.90870.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 18f     366643 6 7 2 1 1 1    35.0   37.0
261 2119.015260 5.216E-25 7.666E-03.06350.116 1262.84800.75-.001000 000 1 3 1-1- u 000 1 0 1 0  g                    P 23f     366643 6 7 2 1 1 1    45.0   47.0
261 2119.102780 1.397E-24 4.134E-03.07870.147  795.00420.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 12e     366643 6 7 2 1 1 1    23.0   25.0
261 2119.302300 3.473E-25 4.071E-03.07040.126 1175.96640.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 19e     366643 6 7 2 1 1 1    37.0   39.0
261 2119.610290 1.126E-23 2.283E-02.07680.141  976.13500.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 14e     366643 6 8 2 1 1 1    81.0   87.0
261 2119.819000 5.303E-25 8.590E-04.07330.132  971.18900.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 17e     366643 6 7 2 1 1 1    99.0  105.0
